finding_id,current_term,complete_current_phrase,file,line,route_or_surface,persona,visible_to_user,usage_type,localization_key,current_english,current_arabic,proposed_english,proposed_arabic,classification,legal_or_regulatory_risk,rationale,implementation_status,validation_evidence
W3-3-W3-015,feature-flag-jargon,Task workspace is feature-flagged off (FEATURE_TASKS_WORKSPACE).,apps/web/src/app/admin/workflows/task-actions.ts,"39,64,88",Risk/Workflow/GIS/Integrations Config,,,,,,,deferred,,server-action-error,none,grep found no caller of reassignTask/setTaskStatus/setTaskActive from any page in scope; message is not genuinely user-visible today.,skipped-reason:not-currently-rendered-by-any-UI-behind-off-flag,Wave 3 (Risk/Workflow/GIS/Integrations Config); typecheck pass
W3-3-W3-016,feature-flag-jargon,Governed transition is feature-flagged off (FEATURE_WORKFLOW_TRANSITION).,apps/web/src/app/admin/workflows/transition-actions.ts,27,Risk/Workflow/GIS/Integrations Config,,,,,,,deferred,,server-action-error,none,applyGovernedTransition has no caller in scope; not currently user-visible.,skipped-reason:not-currently-rendered-by-any-UI-behind-off-flag,Wave 3 (Risk/Workflow/GIS/Integrations Config); typecheck pass
W3-4-W3-01,Localization,"t(""l10n.title"", ""Localization"")",apps/web/src/app/admin/localization/page.tsx,,/admin/localization,,yes,,"l10n.title (fallback only, key unchanged)",,,Language & Translations,اللغة والترجمات,page-title,none,"Direct glossary match: Localization -> Language & Translations. This is the module's own Shell page title, genuinely user-visible.",implemented,Wave 3 (Templates/Items/Notifications/Localization); typecheck pass
W3-4-W3-02,localization,Loading localization… · جارٍ تحميل الترجمة…,apps/web/src/app/admin/localization/loading.tsx,,/admin/localization,,yes,,,,جارٍ تحميل الترجمة…,Loading translations…,جارٍ تحميل الترجمة… (unchanged — already means 'Loading translation…'),loading-state-heading,none,Consistency with the renamed page title; loading-state skeleton shown before Localization() renders.,implemented,Wave 3 (Templates/Items/Notifications/Localization); typecheck pass
W3-4-W3-03,localization dictionary,"t(""l10n.error.load"", ""Could not load the localization dictionary. Nothing was changed. Try again."")",apps/web/src/app/admin/localization/page.tsx,,/admin/localization,,yes,,"l10n.error.load (fallback only, key unchanged)",,,Could not load the translation dictionary. Nothing was changed. Try again.,تعذّر تحميل قاموس الترجمة. لم يتغيّر شيء. حاول مرة أخرى.,error-banner,none,Consistency with the renamed module name; user-visible error banner.,implemented,Wave 3 (Templates/Items/Notifications/Localization); typecheck pass
W3-4-W3-04,Compliance Library,"aria-label=""Compliance Library"" nav; ""Back to Compliance Library"" link text",apps/web/src/app/admin/items/page.tsx; apps/web/src/app/admin/items/[id]/runtime-preview/page.tsx,,"/admin/items, /admin/items/[id]/runtime-preview",,yes,,,,,Inspection Rules,,nav-aria-label / link-text,none — purely a naming consistency risk if renamed in isolation,,"skipped-reason: cross-scope e2e contract (apps/web/e2e/compliance-library.spec.ts, compliance-library-evidence.spec.ts, compliance-shared-shell.spec.ts, cd-004-admin-control-plane-home.spec.ts, shell-navigation.spec.ts) asserts the literal 'Compliance Library' string across Shell nav, admin/regulations/page.tsx and admin/items/page.tsx together; regulations page and Shell nav are outside this task's assigned scope, so a partial rename here would create an inconsistent dual-naming state and break passing tests. Needs a coordinated follow-up covering Shell + admin/regulations + admin/items + the e2e specs.",Wave 3 (Templates/Items/Notifications/Localization); typecheck pass
W3-5-W3-01,Platform Operations,Platform operations and resilience,apps/web/src/app/admin/operations/page.tsx,18,/admin/operations,admin/ops,yes,"page title (Shell title prop, rendered in header)",mvp3.operations.title,,,System operations and resilience,عمليات المنظومة والصمود,glossary-mapped nav/page title,none,"Direct glossary mapping: Platform Operations -> System Operations, applied to page title fallback string.",implemented,tsc --noEmit 0 errors
W3-5-W3-02,dossier,Point-in-time dossier,apps/web/src/app/admin/audit/AuditReplayWorkspace.tsx,13,"/admin/audit (Inspection Flight Recorder, recorder mode aside panel heading)",auditor/security_admin/compliance_admin,yes,JSX heading text (aside h3),"n/a (inline labels.en.dossier, key name unchanged)",,,Point-in-time snapshot,"ملف الحالة في لحظة (unchanged, already correct)",known Wave 0 leftover: inline EN/AR strings object not routed through t(),none,"This is a forensic audit-replay snapshot of an event at a moment in time, not a Factory 360 profile — used 'snapshot' rather than forcing 'profile' wording onto an unrelated audit concept. Object key 'dossier' kept as internal identifier per instructions.",implemented,tsc --noEmit 0 errors
W3-5-W3-03,portfolio,Portfolio / current readable scope,apps/web/src/app/admin/audit/AuditReplayWorkspace.tsx,13,/admin/audit,auditor,yes,inline label + also appears in selectCase helper text,,,,,,contextual non-match — not the licenses concept,none,"Glossary maps 'portfolio' -> 'All licenses' specifically for the license-portfolio concept elsewhere in the app. Here 'Portfolio' means the auditor's entire RLS-readable event scope (a forensic/audit concept unrelated to licenses); relabeling it 'All licenses' would be incorrect and misleading. Left unchanged by design, not an oversight.","skipped-reason:contextual-mismatch, not the licenses meaning of 'portfolio' — renaming to 'All licenses' would be factually wrong in this audit-scope context",Wave 3 (Audit/Operations/Access); typecheck pass
W3-5-W3-04,SCR-*/RBAC-*/ENG-* context badges,"e.g. 'SCR-ADM-090 · RBAC-001..014' (access/page.tsx), 'ENG-12' (audit/page.tsx), 'M3-00 · CD-050' (operations/page.tsx, security-access/page.tsx)","apps/web/src/app/admin/access/page.tsx, apps/web/src/app/admin/audit/page.tsx, apps/web/src/app/admin/operations/page.tsx, apps/web/src/app/admin/security-access/page.tsx",18 / 136 / 19 / 19,Audit/Operations/Access,,yes,Shell context-slot lozenge badge,,,,,,developer-jargon code visible in Shell context badge,none,"Checked precedent: admin/packages/page.tsx (already remediated in Wave 2, do-not-touch) still ships 'SCR-ADM-030/031 · ENG-02' unchanged in its Shell context badge. This confirms these contract-ID lozenge badges are an accepted, intentionally-kept traceability convention across all admin surfaces, not in-scope jargon to strip — stripping them here would be inconsistent with the accepted Wave 2 pattern and would remove requirement-traceability without a documented change-control decision.","skipped-reason:matches accepted Wave-2 precedent (packages/page.tsx keeps identical SCR-*/ENG-* badge pattern) — treating as intentional traceability convention, not jargon to remove; flagging for explicit product-owner decision before Wave 4/5 if removal is actually desired",Wave 3 (Audit/Operations/Access); typecheck pass
W3-6-W3-01,Compliance Library,Compliance Library,apps/web/src/app/admin/page.tsx,118,/admin,,true,,admin.overview.r2.family.compliance,,,Inspection Rules,قواعد التفتيش,nav-label,none,,implemented,Wave 3 (Admin Landing & Committee); typecheck pass
W3-6-W3-02,Enforcement Library,Enforcement Library,apps/web/src/app/admin/page.tsx,120,/admin,,true,,admin.overview.r2.family.enforcement,,,Violations & Penalties,المخالفات والعقوبات,nav-label,none,,implemented,Wave 3 (Admin Landing & Committee); typecheck pass
W3-6-W3-03,Audit trail,Audit trail,apps/web/src/app/admin/page.tsx,122,/admin,,true,,admin.overview.r2.family.audit,,,Activity Log,سجل النشاط,nav-label,none,,implemented,Wave 3 (Admin Landing & Committee); typecheck pass
W3-6-W3-04,Workflow Configuration,Workflow Configuration,apps/web/src/app/admin/page.tsx,132,/admin,,true,,shell.nav.workflows,,,Workflow Settings,إعدادات سير العمل,nav-label,none,,implemented,Wave 3 (Admin Landing & Committee); typecheck pass
W3-6-W3-05,Risk Configuration,Risk Configuration,apps/web/src/app/admin/page.tsx,133,/admin,,true,,shell.nav.risk,,,Risk Settings,إعدادات المخاطر,nav-label,none,,implemented,Wave 3 (Admin Landing & Committee); typecheck pass
W3-6-W3-06,GIS Configuration,GIS Configuration,apps/web/src/app/admin/page.tsx,134,/admin,,true,,shell.nav.gis,,,Map Settings,إعدادات الخريطة,nav-label,none,,implemented,Wave 3 (Admin Landing & Committee); typecheck pass
W3-6-W3-07,Localization,Localization,apps/web/src/app/admin/page.tsx,136,/admin,,true,,shell.nav.localization,,,Language & Translations,اللغة والترجمات,nav-label,none,,implemented,Wave 3 (Admin Landing & Committee); typecheck pass
W3-6-W3-08,Audit Trail,Audit Trail,apps/web/src/app/admin/page.tsx,137,/admin,,true,,shell.nav.audit,,,Activity Log,سجل النشاط,nav-label,none,,implemented,Wave 3 (Admin Landing & Committee); typecheck pass
W3-6-W3-09,dossier,The committee decision dossier is not enabled here. PKI/EBDA verification is held.,apps/web/src/app/committee/page.tsx,18,/committee,,true,,cmte.off,,,The committee decision record is not enabled here. PKI/EBDA verification is held.,سجل قرار اللجنة غير مُفعَّل هنا. التحقق عبر البنية التحتية للمفتاح العام/إبدأ موقوف.,empty-state/banner,none,Committee decision packet is a different business object than the Factory 360 'dossier' -> 'Factory profile' rename; used 'decision record' per task guidance instead of 'Factory profile' wording.,implemented,Wave 3 (Admin Landing & Committee); typecheck pass
W3-6-W3-10,dossier,Committee dossier is feature-flagged off (FEATURE_DECISION_DOSSIER).,apps/web/src/app/committee/actions.ts,18,/committee (RecordSignature form error),,true,,"none (raw string, not t())",,,Committee decision record is feature-flagged off (FEATURE_DECISION_DOSSIER).,,server-action-error-message,none,FEATURE_DECISION_DOSSIER env var name preserved verbatim as instructed; only the surrounding prose reworded.,implemented,Wave 3 (Admin Landing & Committee); typecheck pass
W3-6-W3-11,Compliance Library / Enforcement Library / Audit trail (comments),// Compliance Library — regulations / // Enforcement Library — violation_codes / // Audit trail — audit_events,apps/web/src/app/admin/page.tsx,"188,213,249",Admin Landing & Committee,,,,,,,n/a — left unchanged,,code-comment,none,,"skipped-reason:comment, not user-visible per instructions",Wave 3 (Admin Landing & Committee); typecheck pass
W3-MANUAL-001,Compliance Library,labelEn nav item (compliance-library),apps/web/src/lib/shell-navigation.ts,103,main sidebar nav,business admin,yes,nav-label object,shell.nav.regulations,Compliance Library,مكتبة الامتثال,Inspection Rules,قواعد التفتيش,A,none,"Actual source of the sidebar nav label; worker 1 correctly flagged this as out of its components/-only scope, implemented directly",implemented,typecheck pass
W3-MANUAL-002,Approval Queue,labelEn nav item (approval-queue),apps/web/src/lib/shell-navigation.ts,104,main sidebar nav,business admin,yes,nav-label object,shell.nav.approvalQueue,Approval Queue,قائمة انتظار الموافقات,Awaiting Approval,بانتظار الاعتماد,A,none,,implemented,typecheck pass
W3-MANUAL-003,Enforcement Library,labelEn nav item (enforcement-library),apps/web/src/lib/shell-navigation.ts,105,main sidebar nav,business admin,yes,nav-label object,shell.nav.enforcement,Enforcement Library,مكتبة الإنفاذ,Violations & Penalties,المخالفات والعقوبات,A,none,,implemented,typecheck pass
W3-MANUAL-004,Lookup Management,labelEn nav item (lookups),apps/web/src/lib/shell-navigation.ts,125,main sidebar nav (advanced admin),admin,yes,nav-label object,shell.nav.lookups,Lookup Management,إدارة القوائم المرجعية,Reference Lists,القوائم المرجعية,A,none,,implemented,typecheck pass
W3-MANUAL-005,Risk Configuration,labelEn nav item (risk),apps/web/src/lib/shell-navigation.ts,126,main sidebar nav (advanced admin),risk_owner,yes,nav-label object,shell.nav.risk,Risk Configuration,تهيئة المخاطر,Risk Settings,إعدادات المخاطر,A,none,,implemented,typecheck pass
W3-MANUAL-006,Survey Configuration,labelEn nav item (surveys),apps/web/src/lib/shell-navigation.ts,127,main sidebar nav (advanced admin),form_admin,yes,nav-label object,shell.nav.surveys,Survey Configuration,تهيئة الاستبيانات,Inspection Forms,نماذج التفتيش,A,none,,implemented,typecheck pass
W3-MANUAL-007,Notification Configuration,labelEn nav item (notifications),apps/web/src/lib/shell-navigation.ts,128,main sidebar nav (advanced admin),admin,yes,nav-label object,shell.nav.notificationConfiguration,Notification Configuration,تهيئة الإشعارات,Notification Settings,إعدادات الإشعارات,A,none,,implemented,typecheck pass
W3-MANUAL-008,Integration Management,labelEn nav item (integrations),apps/web/src/lib/shell-navigation.ts,129,main sidebar nav (advanced admin),security_admin/workflow_admin,yes,nav-label object,shell.nav.integrationManagement,Integration Management,إدارة التكاملات,System Connections,اتصالات النظام,A,none,,implemented,typecheck pass
W3-MANUAL-009,Workflow Configuration,labelEn nav item (workflows),apps/web/src/lib/shell-navigation.ts,130,main sidebar nav (advanced admin),workflow_admin,yes,nav-label object,shell.nav.workflows,Workflow Configuration,تهيئة سير العمل,Workflow Settings,إعدادات سير العمل,A,none,,implemented,typecheck pass
W3-MANUAL-010,GIS Configuration,labelEn nav item (gis),apps/web/src/lib/shell-navigation.ts,131,main sidebar nav (advanced admin),gis_admin,yes,nav-label object,shell.nav.gis,GIS Configuration,تهيئة نظم المعلومات الجغرافية,Map Settings,إعدادات الخريطة,A,none,,implemented,typecheck pass
W3-MANUAL-011,Audit Trail,labelEn nav item (audit),apps/web/src/lib/shell-navigation.ts,132,main sidebar nav (advanced admin),admin,yes,nav-label object,shell.nav.audit,Audit Trail,سجل التدقيق,Activity Log,سجل النشاط,A,none,,implemented,typecheck pass
W3-MANUAL-012,Platform Operations,labelEn nav item (platform-operations),apps/web/src/lib/shell-navigation.ts,133,main sidebar nav (advanced admin),security_admin/workflow_admin,yes,nav-label object,shell.nav.platformOperations,Platform Operations,عمليات المنصة,System Operations,عمليات النظام,A,none,,implemented,typecheck pass
W3-MANUAL-013,Bulk Violation Issuance,labelEn nav item (bulk-violations),apps/web/src/lib/shell-navigation.ts,139,main sidebar nav (advanced admin),ops/compliance_admin,yes,nav-label object,shell.nav.bulkViolations,Bulk Violation Issuance,إصدار المخالفات الجماعي,Issue Multiple Violations,إصدار عدة مخالفات,A,none,,implemented,typecheck pass
W3-MANUAL-014,Localization,labelEn nav item (localization),apps/web/src/lib/shell-navigation.ts,140,main sidebar nav (advanced admin),compliance/security/workflow admin,yes,nav-label object,shell.nav.localization,Localization,الترجمة,Language & Translations,اللغة والترجمات,A,none,,implemented,typecheck pass
W3-MANUAL-015,Enforcement Cases,labelEn nav item (enforcement-cases),apps/web/src/lib/shell-navigation.ts,141,main sidebar nav (advanced admin),compliance_admin,yes,nav-label object,shell.nav.enforcementCases,Enforcement Cases,قضايا الإنفاذ,Violation Cases,قضايا المخالفات,A,none,,implemented,typecheck pass
W3-MANUAL-016,Compliance Library,aria-label + back-link on Inspection Items pages,apps/web/src/app/admin/items/page.tsx; apps/web/src/app/admin/items/[id]/runtime-preview/page.tsx,"232; 63,112",/admin/items,admin,yes,aria-label / link text,(none - hardcoded),Compliance Library,(none),Inspection Rules,(none),A,none,Cross-scope consistency fix flagged by worker 4 (e2e contract spanned Shell+regulations+items); implemented directly alongside shell-navigation.ts + regulations fixes so all three surfaces rename together,implemented,typecheck pass
W3-MANUAL-017,Version lineage,Version lineage / lineage-and-publish-dependency heading,apps/web/src/app/admin/regulations/page.tsx,403,/admin/regulations,admin,yes,section heading,admin.reg.lineage.heading,Version lineage,(none),Version history,سجل الإصدارات,A,none,"Missed by compliance-enforcement worker (lineage->history was in general glossary, not explicit focus list); caught during e2e-consistency review",implemented,typecheck pass
W3-MANUAL-018,6 e2e spec assertions,aria-label/heading/text assertions pinning old nav labels,apps/web/e2e/cd-004-admin-control-plane-home.spec.ts; compliance-approval-queue.spec.ts; compliance-library-evidence.spec.ts; compliance-library.spec.ts; compliance-shared-shell.spec.ts; shell-navigation.spec.ts; cd-005-006-regulations.spec.ts; mvp3-retrofit-regression.spec.ts,various,e2e test suite,n/a,no,test assertion,n/a,various old labels,n/a,various new labels,n/a,G,none,Updated test text assertions to match renamed UI text; underlying behavior/routes/roles unchanged,implemented,typecheck pass
W3-MANUAL-019,Audit Trail,i18n key manifest entry (Arabic-seeding source),apps/web/src/lib/i18n-keys.generated.ts,25,"internal manifest, not directly rendered",n/a,no,seeding manifest English value,shell.nav.audit,Audit Trail,n/a,Activity Log,سجل النشاط,A,none,Manifest comment states it is consumed by the Arabic seeding step for ui_strings; left stale it would seed the old English term — fixed to match the live nav label,implemented,typecheck pass
W4-MANUAL-001,registry,"f360.err.neutral third occurrence, missed by Wave 1",apps/web/src/app/factories/page.tsx,61,/factories (Factory list),All authenticated web users,yes,translation fallback,f360.err.neutral,The factory registry is temporarily unavailable. Nothing was changed.,(none),The Factory list is temporarily unavailable. Nothing was changed.,قائمة المصانع غير متاحة مؤقتًا. لم يتم تغيير أي شيء.,A,none,Same key already fixed at cr/[id] and field/factory-360/[id] in Wave 1; this third call site was missed. Caught by Wave 5 validation agent's residual-phrase grep.,implemented,typecheck pass; Wave 5 validation catch
W4-MANUAL-002,registry,No factories in the registry (empty state),apps/web/src/app/factories/page.tsx,N/A,/factories,All authenticated web users,yes,translation fallback (empty state title),f360.empty.title,No factories in the registry,(none),No factories in the list,(pending AR),A,none,,implemented,typecheck pass
W4-MANUAL-003,registry,Clear the filter to see the full registry.,apps/web/src/app/factories/page.tsx,45,/factories,All authenticated web users,yes,translation fallback,f360.list.emptyRegion.desc,Clear the filter to see the full registry.,(none),Clear the filter to see the full Factory list.,(pending AR),A,none,,implemented,typecheck pass
W4-MANUAL-004,registry,Factory registry unavailable — AI advisory action error,apps/web/src/lib/ai/contextual-actions.ts,33,AI insights advisory generation (server action),admin/ops,yes,hardcoded error string (not t()),(none - hardcoded),Factory registry unavailable — no advisory was generated or stored.,(none),Factory list unavailable — no advisory was generated or stored.,(none - EN-only surface),A,none,Out of any prior wave's directory scope (lib/ai/); caught by Wave 5 validation residual grep.,implemented,typecheck pass; Wave 5 validation catch
W4-MANUAL-005,contract-unverified / fail-closed,f360.xpc.rule caption,apps/web/src/app/field/factory-360/[id]/page.tsx,269,/field/factory-360/:id,Inspector (iPad field),yes,translation fallback (caption),f360.xpc.rule,Industry Shared master data is contract-unverified (fail-closed),(none),Industry Shared master data is not shown until it can be confirmed,(pending AR),A,none,Prohibited dev-jargon phrase leaking into a visible caption; caught by Wave 5 validation residual grep against the task's explicit banned-phrase list.,implemented,typecheck pass; Wave 5 validation catch
W4-MANUAL-006,RLS-scoped,12 occurrences across portal/visits/admin/dashboard,apps/web/src/app/portal/page.tsx; visits/calendar/page.tsx; visits/map/page.tsx; visits/page.tsx (x2); admin/access/page.tsx; admin/compliance-requests/loading.tsx; admin/compliance-requests/[id]/page.tsx; admin/compliance-requests/page.tsx (x2); admin/compliance-approvals/loading.tsx; admin/compliance-approvals/page.tsx (x2); dashboard/loading.tsx,various,various,various,yes,banners/captions/loading text/context lozenges,various,RLS-scoped (various surrounding phrasing),(varies),Filtered to your access (various contextual rewrites),(pending AR except dashboard/loading.tsx which already had correct AR),A,none,Explicitly on the task's banned-phrase regression-test list; a systemic gap across surfaces no single wave's directory scope covered. Caught by Wave 5 validation residual grep.,implemented,typecheck pass; Wave 5 validation catch
W4-MANUAL-007,factory master / registry,Factory 360 destination page missed entirely by Wave 1,apps/web/src/app/factories/[id]/page.tsx,"312,410,592,618","/factories/:id (Factory profile - web, alternate lookup-by-id route)",All authenticated web users,yes,translation fallbacks,f360.geo.historyCaption; f360.tl.sourceSync; f360.wf.empty.desc; f360.wf.sourceOwned,factory master / Source registry synced / source registry sync (x2),(none),Factory list / Factory list synced / Factory list sync (x2),(pending AR),A,none,"This route is heavily linked from visits, planning, and operations pages as the primary Factory 360 destination, yet no wave's directory scope included apps/web/src/app/factories/[id]/page.tsx specifically (Wave 1 only covered factories/cr/[id] and field/factory-360/[id]). Caught during Wave 5 residual review. f360.docs.heading 'metadata registry' left unchanged — different domain (document metadata catalog, not the factory list).",implemented,typecheck pass; Wave 5 residual review catch
W4-MANUAL-008,dossier (env var mentions),FEATURE_DECISION_DOSSIER surfaced in committee page/action,apps/web/src/app/committee/page.tsx; apps/web/src/app/committee/actions.ts,19; 18,/committee,Committee members,yes,seam prop (expandable disclosure) / error message with parenthetical code,(none - hardcoded),FEATURE_DECISION_DOSSIER=off + PKI/EBDA held / (FEATURE_DECISION_DOSSIER),(none),(left unchanged — reviewed and accepted),(n/a),F,none,Env var identifier explicitly protected from renaming per task section 3. seam= renders only inside an expandable 'Why / prerequisites' disclosure (matches task's explicit allowance for preserving technical codes in expandable support detail); actions.ts error follows the same parenthetical-technical-code pattern already accepted for DEF-WF-006/M04-164 elsewhere in the app.,reviewed-no-change-needed,Wave 5 validation flagged; reviewed and confirmed compliant with task spec section 7
